NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: Bournedale, Cape Cod Canal (Sta. 200) 
State: MA 
Stationid: 8447191
Prediction Type: Harmonic
From: 20230101 06:19 - 20231231 20:10
Units: Feet and Centimeters
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2023/09/27	Wed	09:52 PM	7.28		222			H
2023/09/28	Thu	04:19 AM	-0.37		-11			L
2023/09/28	Thu	10:20 AM	7.00		213			H
2023/09/28	Thu	04:41 PM	-0.47		-14			L
2023/09/28	Thu	10:46 PM	7.34		224			H
2023/09/29	Fri	05:08 AM	-0.49		-15			L
2023/09/29	Fri	11:11 AM	7.37		225			H
2023/09/29	Fri	05:34 PM	-0.77		-23			L
2023/09/29	Fri	11:40 PM	7.30		223			H
2023/09/30	Sat	05:56 AM	-0.49		-15			L
2023/09/30	Sat	12:00 PM	7.62		232			H
2023/09/30	Sat	06:24 PM	-0.91		-28			L
2023/10/01	Sun	12:30 AM	7.15		218			H
2023/10/01	Sun	06:43 AM	-0.36		-11			L
2023/10/01	Sun	12:48 PM	7.70		235			H
2023/10/01	Sun	07:14 PM	-0.87		-27			L
2023/10/02	Mon	01:20 AM	6.89		210			H
2023/10/02	Mon	07:30 AM	-0.10		-3			L
2023/10/02	Mon	01:35 PM	7.59		231			H
2023/10/02	Mon	08:05 PM	-0.65		-20			L
2023/10/03	Tue	02:09 AM	6.54		199			H
2023/10/03	Tue	08:19 AM	0.24		7			L
2023/10/03	Tue	02:23 PM	7.33		223			H
2023/10/03	Tue	08:58 PM	-0.31		-9			L
2023/10/04	Wed	03:01 AM	6.15		187			H
2023/10/04	Wed	09:12 AM	0.61		19			L
2023/10/04	Wed	03:16 PM	6.97		212			H
2023/10/04	Wed	09:53 PM	0.05		2			L
2023/10/05	Thu	03:56 AM	5.78		176			H
2023/10/05	Thu	10:07 AM	0.93		28			L
2023/10/05	Thu	04:11 PM	6.59		201			H
2023/10/05	Thu	10:48 PM	0.39		12			L
2023/10/06	Fri	04:54 AM	5.47		167			H
2023/10/06	Fri	11:03 AM	1.18		36			L
2023/10/06	Fri	05:09 PM	6.26		191			H
2023/10/06	Fri	11:44 PM	0.67		20			L
2023/10/07	Sat	05:55 AM	5.26		160			H
2023/10/07	Sat	12:00 PM	1.34		41			L
2023/10/07	Sat	06:12 PM	6.03		184			H
2023/10/08	Sun	12:42 AM	0.86		26			L
2023/10/08	Sun	07:01 AM	5.21		159			H
2023/10/08	Sun	12:58 PM	1.39		42			L
2023/10/08	Sun	07:17 PM	5.93		181			H
2023/10/09	Mon	01:39 AM	0.92		28			L
2023/10/09	Mon	08:01 AM	5.32		162			H
2023/10/09	Mon	01:55 PM	1.31		40			L
2023/10/09	Mon	08:15 PM	5.95		181			H
2023/10/10	Tue	02:31 AM	0.89		27			L
2023/10/10	Tue	08:48 AM	5.49		167			H
2023/10/10	Tue	02:47 PM	1.14		35			L
2023/10/10	Tue	09:02 PM	5.99		183			H
2023/10/11	Wed	03:17 AM	0.84		26			L
2023/10/11	Wed	09:28 AM	5.69		173			H
2023/10/11	Wed	03:35 PM	0.95		29			L
2023/10/11	Wed	09:44 PM	6.02		183			H
2023/10/12	Thu	04:00 AM	0.80		24			L
2023/10/12	Thu	10:05 AM	5.88		179			H
2023/10/12	Thu	04:19 PM	0.75		23			L
2023/10/12	Thu	10:24 PM	6.02		183			H
2023/10/13	Fri	04:40 AM	0.79		24			L
2023/10/13	Fri	10:40 AM	6.07		185			H
2023/10/13	Fri	05:02 PM	0.57		17			L
2023/10/13	Fri	11:03 PM	6.00		183			H
2023/10/14	Sat	05:19 AM	0.80		24			L
2023/10/14	Sat	11:15 AM	6.26		191			H
2023/10/14	Sat	05:43 PM	0.41		12			L
2023/10/14	Sat	11:40 PM	5.99		183			H
2023/10/15	Sun	05:57 AM	0.85		26			L
2023/10/15	Sun	11:50 AM	6.44		196			H
2023/10/15	Sun	06:22 PM	0.29		9			L
2023/10/16	Mon	12:18 AM	5.96		182			H
2023/10/16	Mon	06:34 AM	0.93		28			L
2023/10/16	Mon	12:25 PM	6.60		201			H
2023/10/16	Mon	07:02 PM	0.24		7			L
2023/10/17	Tue	12:55 AM	5.91		180			H
2023/10/17	Tue	07:12 AM	1.02		31			L
2023/10/17	Tue	01:02 PM	6.71		205			H
2023/10/17	Tue	07:44 PM	0.25		8			L
2023/10/18	Wed	01:35 AM	5.83		178			H
2023/10/18	Wed	07:52 AM	1.13		34			L
2023/10/18	Wed	01:42 PM	6.78		207			H
2023/10/18	Wed	08:31 PM	0.31		9			L
2023/10/19	Thu	02:19 AM	5.72		174			H
2023/10/19	Thu	08:38 AM	1.24		38			L
2023/10/19	Thu	02:28 PM	6.77		206			H
2023/10/19	Thu	09:23 PM	0.38		12			L
2023/10/20	Fri	03:10 AM	5.60		171			H
2023/10/20	Fri	09:32 AM	1.29		39			L
2023/10/20	Fri	03:22 PM	6.71		205			H
2023/10/20	Fri	10:19 PM	0.42		13			L
2023/10/21	Sat	04:07 AM	5.53		169			H
2023/10/21	Sat	10:31 AM	1.27		39			L
2023/10/21	Sat	04:22 PM	6.64		202			H
2023/10/21	Sat	11:16 PM	0.42		13			L
2023/10/22	Sun	05:08 AM	5.55		169			H
2023/10/22	Sun	11:31 AM	1.15		35			L
2023/10/22	Sun	05:26 PM	6.59		201			H
2023/10/23	Mon	12:14 AM	0.37		11			L
2023/10/23	Mon	06:12 AM	5.72		174			H
2023/10/23	Mon	12:33 PM	0.93		28			L
2023/10/23	Mon	06:34 PM	6.60		201			H
2023/10/24	Tue	01:13 AM	0.25		8			L
2023/10/24	Tue	07:18 AM	6.06		185			H
2023/10/24	Tue	01:36 PM	0.58		18			L
2023/10/24	Tue	07:41 PM	6.70		204			H
2023/10/25	Wed	02:10 AM	0.08		2			L
2023/10/25	Wed	08:17 AM	6.52		199			H
2023/10/25	Wed	02:36 PM	0.15		5			L
2023/10/25	Wed	08:42 PM	6.83		208			H
2023/10/26	Thu	03:03 AM	-0.08		-2			L
2023/10/26	Thu	09:10 AM	6.97		212			H
2023/10/26	Thu	03:32 PM	-0.27		-8			L
2023/10/26	Thu	09:37 PM	6.90		210			H
2023/10/27	Fri	03:54 AM	-0.17		-5			L
2023/10/27	Fri	10:00 AM	7.34		224			H
2023/10/27	Fri	04:25 PM	-0.60		-18			L
2023/10/27	Fri	10:31 PM	6.88		210			H
2023/10/28	Sat	04:43 AM	-0.18		-5			L
2023/10/28	Sat	10:49 AM	7.57		231			H
2023/10/28	Sat	05:17 PM	-0.80		-24			L
2023/10/28	Sat	11:23 PM	6.79		207			H
2023/10/29	Sun	05:32 AM	-0.11		-3			L
2023/10/29	Sun	11:37 AM	7.66		233			H
2023/10/29	Sun	06:06 PM	-0.85		-26			L
2023/10/30	Mon	12:13 AM	6.64		202			H
2023/10/30	Mon	06:19 AM	0.06		2			L
2023/10/30	Mon	12:24 PM	7.61		232			H
2023/10/30	Mon	06:54 PM	-0.73		-22			L
2023/10/31	Tue	01:01 AM	6.42		196			H
2023/10/31	Tue	07:05 AM	0.31		9			L
2023/10/31	Tue	01:10 PM	7.41		226			H
2023/10/31	Tue	07:42 PM	-0.46		-14			L
2023/11/01	Wed	01:47 AM	6.15		187			H
2023/11/01	Wed	07:53 AM	0.61		19			L
2023/11/01	Wed	01:56 PM	7.11		217			H
2023/11/01	Wed	08:32 PM	-0.11		-3			L
2023/11/02	Thu	02:36 AM	5.85		178			H
2023/11/02	Thu	08:44 AM	0.92		28			L
2023/11/02	Thu	02:45 PM	6.75		206			H
2023/11/02	Thu	09:24 PM	0.24		7			L
2023/11/03	Fri	03:27 AM	5.58		170			H
2023/11/03	Fri	09:38 AM	1.18		36			L
2023/11/03	Fri	03:38 PM	6.40		195			H
2023/11/03	Fri	10:18 PM	0.54		16			L
2023/11/04	Sat	04:21 AM	5.37		164			H
2023/11/04	Sat	10:33 AM	1.36		41			L
2023/11/04	Sat	04:33 PM	6.10		186			H
2023/11/04	Sat	11:11 PM	0.76		23			L
2023/11/05	Sun	04:17 AM	5.26		160			H
2023/11/05	Sun	10:28 AM	1.45		44			L
2023/11/05	Sun	04:30 PM	5.86		179			H
2023/11/05	Sun	11:04 PM	0.92		28			L
2023/11/06	Mon	05:15 AM	5.26		160			H
2023/11/06	Mon	11:24 AM	1.45		44			L
2023/11/06	Mon	05:31 PM	5.72		174			H
2023/11/06	Mon	11:57 PM	1.00		30			L
2023/11/07	Tue	06:13 AM	5.40		165			H
2023/11/07	Tue	12:20 PM	1.34		41			L
2023/11/07	Tue	06:31 PM	5.68		173			H
2023/11/08	Wed	12:49 AM	1.01		31			L
2023/11/08	Wed	07:04 AM	5.62		171			H
2023/11/08	Wed	01:14 PM	1.14		35			L
2023/11/08	Wed	07:22 PM	5.71		174			H
2023/11/09	Thu	01:36 AM	0.99		30			L
2023/11/09	Thu	07:46 AM	5.87		179			H
2023/11/09	Thu	02:02 PM	0.90		27			L
2023/11/09	Thu	08:07 PM	5.74		175			H
2023/11/10	Fri	02:20 AM	0.97		30			L
2023/11/10	Fri	08:24 AM	6.11		186			H
2023/11/10	Fri	02:48 PM	0.65		20			L
2023/11/10	Fri	08:49 PM	5.75		175			H
2023/11/11	Sat	03:02 AM	0.97		30			L
2023/11/11	Sat	09:00 AM	6.33		193			H
2023/11/11	Sat	03:32 PM	0.43		13			L
2023/11/11	Sat	09:29 PM	5.76		176			H
2023/11/12	Sun	03:43 AM	0.98		30			L
2023/11/12	Sun	09:37 AM	6.53		199			H
2023/11/12	Sun	04:14 PM	0.24		7			L
2023/11/12	Sun	10:10 PM	5.78		176			H
2023/11/13	Mon	04:23 AM	0.99		30			L
2023/11/13	Mon	10:16 AM	6.72		205			H
2023/11/13	Mon	04:57 PM	0.09		3			L
2023/11/13	Mon	10:51 PM	5.80		177			H
2023/11/14	Tue	05:04 AM	0.99		30			L
2023/11/14	Tue	10:55 AM	6.90		210			H
2023/11/14	Tue	05:39 PM	-0.00		0			L
2023/11/14	Tue	11:32 PM	5.82		177			H
2023/11/15	Wed	05:44 AM	0.99		30			L
2023/11/15	Wed	11:37 AM	7.04		215			H
2023/11/15	Wed	06:22 PM	-0.03		-1			L
2023/11/16	Thu	12:15 AM	5.83		178			H
2023/11/16	Thu	06:28 AM	1.00		30			L
2023/11/16	Thu	12:22 PM	7.10		216			H
2023/11/16	Thu	07:10 PM	0.01		0			L
2023/11/17	Fri	01:02 AM	5.81		177			H
2023/11/17	Fri	07:17 AM	1.02		31			L
2023/11/17	Fri	01:11 PM	7.07		215			H
2023/11/17	Fri	08:03 PM	0.06		2			L
2023/11/18	Sat	01:54 AM	5.81		177			H
2023/11/18	Sat	08:13 AM	1.02		31			L
2023/11/18	Sat	02:07 PM	6.97		212			H
2023/11/18	Sat	08:58 PM	0.10		3			L
2023/11/19	Sun	02:52 AM	5.85		178			H
2023/11/19	Sun	09:14 AM	0.95		29			L
2023/11/19	Sun	03:07 PM	6.81		208			H
2023/11/19	Sun	09:54 PM	0.12		4			L
2023/11/20	Mon	03:52 AM	5.99		183			H
2023/11/20	Mon	10:14 AM	0.80		24			L
2023/11/20	Mon	04:11 PM	6.65		203			H
2023/11/20	Mon	10:50 PM	0.14		4			L
2023/11/21	Tue	04:54 AM	6.21		189			H
2023/11/21	Tue	11:16 AM	0.59		18			L
2023/11/21	Tue	05:17 PM	6.52		199			H
2023/11/21	Tue	11:48 PM	0.14		4			L
2023/11/22	Wed	05:57 AM	6.53		199			H
2023/11/22	Wed	12:19 PM	0.31		9			L
2023/11/22	Wed	06:24 PM	6.46		197			H
2023/11/23	Thu	12:44 AM	0.12		4			L
2023/11/23	Thu	06:57 AM	6.90		210			H
2023/11/23	Thu	01:19 PM	-0.02		-1			L
2023/11/23	Thu	07:26 PM	6.46		197			H
2023/11/24	Fri	01:39 AM	0.11		3			L
2023/11/24	Fri	07:50 AM	7.23		220			H
2023/11/24	Fri	02:15 PM	-0.32		-10			L
2023/11/24	Fri	08:22 PM	6.44		196			H
2023/11/25	Sat	02:30 AM	0.13		4			L
2023/11/25	Sat	08:40 AM	7.43		226			H
2023/11/25	Sat	03:09 PM	-0.52		-16			L
2023/11/25	Sat	09:16 PM	6.37		194			H
2023/11/26	Sun	03:20 AM	0.21		6			L
2023/11/26	Sun	09:29 AM	7.50		229			H
2023/11/26	Sun	04:00 PM	-0.60		-18			L
2023/11/26	Sun	10:08 PM	6.26		191			H
2023/11/27	Mon	04:09 AM	0.32		10			L
2023/11/27	Mon	10:17 AM	7.46		227			H
2023/11/27	Mon	04:49 PM	-0.56		-17			L
2023/11/27	Mon	10:57 PM	6.14		187			H
2023/11/28	Tue	04:57 AM	0.47		14			L
2023/11/28	Tue	11:04 AM	7.32		223			H
2023/11/28	Tue	05:35 PM	-0.41		-12			L
2023/11/28	Tue	11:43 PM	5.99		183			H
2023/11/29	Wed	05:43 AM	0.66		20			L
2023/11/29	Wed	11:48 AM	7.12		217			H
2023/11/29	Wed	06:21 PM	-0.17		-5			L
2023/11/30	Thu	12:27 AM	5.81		177			H
2023/11/30	Thu	06:28 AM	0.88		27			L
2023/11/30	Thu	12:32 PM	6.87		209			H
2023/11/30	Thu	07:07 PM	0.11		3			L
2023/12/01	Fri	01:11 AM	5.63		172			H
2023/12/01	Fri	07:16 AM	1.10		34			L
2023/12/01	Fri	01:17 PM	6.59		201			H
2023/12/01	Fri	07:56 PM	0.38		12			L
2023/12/02	Sat	01:57 AM	5.49		167			H
2023/12/02	Sat	08:07 AM	1.28		39			L
2023/12/02	Sat	02:05 PM	6.31		192			H
2023/12/02	Sat	08:46 PM	0.60		18			L
2023/12/03	Sun	02:46 AM	5.40		165			H
2023/12/03	Sun	09:00 AM	1.40		43			L
2023/12/03	Sun	02:55 PM	6.04		184			H
2023/12/03	Sun	09:35 PM	0.78		24			L
2023/12/04	Mon	03:36 AM	5.38		164			H
2023/12/04	Mon	09:53 AM	1.44		44			L
2023/12/04	Mon	03:47 PM	5.81		177			H
2023/12/04	Mon	10:24 PM	0.92		28			L
2023/12/05	Tue	04:27 AM	5.43		166			H
2023/12/05	Tue	10:46 AM	1.42		43			L
2023/12/05	Tue	04:42 PM	5.61		171			H
2023/12/05	Tue	11:13 PM	1.04		32			L
2023/12/06	Wed	05:19 AM	5.55		169			H
2023/12/06	Wed	11:41 AM	1.32		40			L
2023/12/06	Wed	05:39 PM	5.47		167			H
2023/12/07	Thu	12:03 AM	1.13		34			L
2023/12/07	Thu	06:11 AM	5.74		175			H
2023/12/07	Thu	12:35 PM	1.14		35			L
2023/12/07	Thu	06:36 PM	5.43		166			H
2023/12/08	Fri	12:53 AM	1.18		36			L
2023/12/08	Fri	06:58 AM	5.98		182			H
2023/12/08	Fri	01:26 PM	0.91		28			L
2023/12/08	Fri	07:27 PM	5.44		166			H
2023/12/09	Sat	01:39 AM	1.19		36			L
2023/12/09	Sat	07:41 AM	6.24		190			H
2023/12/09	Sat	02:14 PM	0.65		20			L
2023/12/09	Sat	08:12 PM	5.48		167			H
2023/12/10	Sun	02:24 AM	1.17		36			L
2023/12/10	Sun	08:22 AM	6.49		198			H
2023/12/10	Sun	03:01 PM	0.41		12			L
2023/12/10	Sun	08:56 PM	5.53		169			H
2023/12/11	Mon	03:08 AM	1.13		34			L
2023/12/11	Mon	09:03 AM	6.72		205			H
2023/12/11	Mon	03:46 PM	0.18		5			L
2023/12/11	Mon	09:40 PM	5.60		171			H
2023/12/12	Tue	03:52 AM	1.04		32			L
2023/12/12	Tue	09:46 AM	6.96		212			H
2023/12/12	Tue	04:32 PM	-0.02		-1			L
2023/12/12	Tue	10:25 PM	5.70		174			H
2023/12/13	Wed	04:36 AM	0.92		28			L
2023/12/13	Wed	10:31 AM	7.17		219			H
2023/12/13	Wed	05:17 PM	-0.18		-5			L
2023/12/13	Wed	11:11 PM	5.83		178			H
2023/12/14	Thu	05:21 AM	0.79		24			L
2023/12/14	Thu	11:18 AM	7.34		224			H
2023/12/14	Thu	06:03 PM	-0.28		-9			L
2023/12/14	Thu	11:57 PM	5.96		182			H
2023/12/15	Fri	06:08 AM	0.68		21			L
2023/12/15	Fri	12:07 PM	7.42		226			H
2023/12/15	Fri	06:51 PM	-0.31		-9			L
2023/12/16	Sat	12:46 AM	6.10		186			H
2023/12/16	Sat	07:00 AM	0.61		19			L
2023/12/16	Sat	12:58 PM	7.37		225			H
2023/12/16	Sat	07:42 PM	-0.28		-9			L
2023/12/17	Sun	01:38 AM	6.23		190			H
2023/12/17	Sun	07:57 AM	0.55		17			L
2023/12/17	Sun	01:53 PM	7.21		220			H
2023/12/17	Sun	08:36 PM	-0.22		-7			L
2023/12/18	Mon	02:35 AM	6.38		194			H
2023/12/18	Mon	08:57 AM	0.47		14			L
2023/12/18	Mon	02:53 PM	6.96		212			H
2023/12/18	Mon	09:31 PM	-0.14		-4			L
2023/12/19	Tue	03:33 AM	6.55		200			H
2023/12/19	Tue	09:57 AM	0.36		11			L
2023/12/19	Tue	03:54 PM	6.67		203			H
2023/12/19	Tue	10:25 PM	-0.02		-1			L
2023/12/20	Wed	04:32 AM	6.73		205			H
2023/12/20	Wed	10:58 AM	0.24		7			L
2023/12/20	Wed	04:58 PM	6.39		195			H
2023/12/20	Wed	11:21 PM	0.13		4			L
2023/12/21	Thu	05:33 AM	6.91		211			H
2023/12/21	Thu	12:00 PM	0.11		3			L
2023/12/21	Thu	06:06 PM	6.18		188			H
2023/12/22	Fri	12:18 AM	0.27		8			L
2023/12/22	Fri	06:34 AM	7.08		216			H
2023/12/22	Fri	01:01 PM	-0.05		-2			L
2023/12/22	Fri	07:10 PM	6.07		185			H
2023/12/23	Sat	01:15 AM	0.39		12			L
2023/12/23	Sat	07:30 AM	7.22		220			H
2023/12/23	Sat	01:58 PM	-0.18		-5			L
2023/12/23	Sat	08:08 PM	6.00		183			H
2023/12/24	Sun	02:08 AM	0.49		15			L
2023/12/24	Sun	08:22 AM	7.27		222			H
2023/12/24	Sun	02:52 PM	-0.24		-7			L
2023/12/24	Sun	09:02 PM	5.92		180			H
2023/12/25	Mon	03:00 AM	0.59		18			L
2023/12/25	Mon	09:12 AM	7.22		220			H
2023/12/25	Mon	03:44 PM	-0.23		-7			L
2023/12/25	Mon	09:54 PM	5.83		178			H
2023/12/26	Tue	03:50 AM	0.69		21			L
2023/12/26	Tue	10:01 AM	7.12		217			H
2023/12/26	Tue	04:32 PM	-0.17		-5			L
2023/12/26	Tue	10:43 PM	5.75		175			H
2023/12/27	Wed	04:37 AM	0.78		24			L
2023/12/27	Wed	10:47 AM	6.99		213			H
2023/12/27	Wed	05:17 PM	-0.05		-2			L
2023/12/27	Wed	11:27 PM	5.68		173			H
2023/12/28	Thu	05:23 AM	0.88		27			L
2023/12/28	Thu	11:30 AM	6.84		208			H
2023/12/28	Thu	06:00 PM	0.10		3			L
2023/12/29	Fri	12:07 AM	5.62		171			H
2023/12/29	Fri	06:06 AM	0.99		30			L
2023/12/29	Fri	12:10 PM	6.68		204			H
2023/12/29	Fri	06:42 PM	0.27		8			L
2023/12/30	Sat	12:46 AM	5.57		170			H
2023/12/30	Sat	06:50 AM	1.11		34			L
2023/12/30	Sat	12:50 PM	6.49		198			H
2023/12/30	Sat	07:26 PM	0.45		14			L
2023/12/31	Sun	01:26 AM	5.55		169			H
2023/12/31	Sun	07:37 AM	1.22		37			L
2023/12/31	Sun	01:33 PM	6.28		191			H
2023/12/31	Sun	08:10 PM	0.69		21			L
